maketxt,modeltxt,yeartxt,complaint_year,complaint_quarter,complaint_count
CHEVROLET,BLAZER,2019,2025,4,14
CHEVROLET,BLAZER,2020,2025,4,33
CHEVROLET,BLAZER,2021,2025,4,20
CHEVROLET,BLAZER,2022,2025,4,11
CHEVROLET,BLAZER,2023,2025,4,2
CHEVROLET,BLAZER,2024,2025,4,12
CHEVROLET,BLAZER EV,2024,2025,4,9
CHEVROLET,BOLT EUV,2022,2025,4,1
CHEVROLET,BOLT EUV,2023,2025,4,5
CHEVROLET,BOLT EV,2017,2025,4,6
CHEVROLET,BOLT EV,2018,2025,4,5
CHEVROLET,BOLT EV,2019,2025,4,2
CHEVROLET,BOLT EV,2020,2025,4,1
CHEVROLET,BOLT EV,2022,2025,4,1
CHEVROLET,BOLT EV,2023,2025,4,2
CHEVROLET,CAMARO,2015,2025,4,2
CHEVROLET,CAMARO,2016,2025,4,6
CHEVROLET,CAMARO,2017,2025,4,6
CHEVROLET,CAMARO,2018,2025,4,7
CHEVROLET,CAMARO,2019,2025,4,2
CHEVROLET,CAMARO,2020,2025,4,1
CHEVROLET,CAMARO,2021,2025,4,2
CHEVROLET,CAMARO,2023,2025,4,1
CHEVROLET,CAMARO,2024,2025,4,2
CHEVROLET,CITY EXPRESS,2015,2025,4,1
CHEVROLET,COLORADO,2015,2025,4,6
CHEVROLET,COLORADO,2016,2025,4,27
CHEVROLET,COLORADO,2017,2025,4,9
CHEVROLET,COLORADO,2018,2025,4,5
CHEVROLET,COLORADO,2019,2025,4,3
CHEVROLET,COLORADO,2020,2025,4,1
CHEVROLET,COLORADO,2021,2025,4,7
CHEVROLET,COLORADO,2022,2025,4,7
CHEVROLET,COLORADO,2023,2025,4,9
CHEVROLET,COLORADO,2024,2025,4,11
CHEVROLET,CORVETTE,2016,2025,4,2
CHEVROLET,CORVETTE,2021,2025,4,1
CHEVROLET,CORVETTE,2023,2025,4,3
CHEVROLET,CORVETTE,2024,2025,4,4
CHEVROLET,CRUZE,2016,2025,4,1
CHEVROLET,CRUZE,2017,2025,4,7
CHEVROLET,EQUINOX,2016,2025,4,3
CHEVROLET,EQUINOX,2017,2025,4,8
CHEVROLET,EQUINOX,2018,2025,4,6
CHEVROLET,EQUINOX,2019,2025,4,16
CHEVROLET,EQUINOX,2020,2025,4,14
CHEVROLET,EQUINOX,2021,2025,4,3
CHEVROLET,EQUINOX,2022,2025,4,12
CHEVROLET,EQUINOX,2023,2025,4,7
CHEVROLET,EQUINOX,2024,2025,4,11
CHEVROLET,EQUINOX EV,2024,2025,4,8
CHEVROLET,EXPRESS,2020,2025,4,8
CHEVROLET,EXPRESS,2022,2025,4,2
CHEVROLET,EXPRESS 3500,2019,2025,4,2
CHEVROLET,IMPALA,2015,2025,4,2
CHEVROLET,IMPALA,2016,2025,4,1
CHEVROLET,IMPALA,2017,2025,4,1
CHEVROLET,MALIBU,2015,2025,4,5
CHEVROLET,MALIBU,2016,2025,4,12
CHEVROLET,MALIBU,2017,2025,4,9
CHEVROLET,MALIBU,2018,2025,4,32
CHEVROLET,MALIBU,2019,2025,4,13
CHEVROLET,MALIBU,2020,2025,4,16
CHEVROLET,MALIBU,2021,2025,4,12
CHEVROLET,MALIBU,2022,2025,4,6
CHEVROLET,MALIBU,2023,2025,4,3
CHEVROLET,SILVERADO 1500,2015,2025,4,15
CHEVROLET,SILVERADO 1500,2016,2025,4,9
CHEVROLET,SILVERADO 1500,2017,2025,4,12
CHEVROLET,SILVERADO 1500,2018,2025,4,13
CHEVROLET,SILVERADO 1500,2019,2025,4,54
CHEVROLET,SILVERADO 1500,2020,2025,4,41
CHEVROLET,SILVERADO 1500,2021,2025,4,62
CHEVROLET,SILVERADO 1500,2022,2025,4,25
CHEVROLET,SILVERADO 1500,2023,2025,4,34
CHEVROLET,SILVERADO 1500,2024,2025,4,24
CHEVROLET,SILVERADO 2500,2015,2025,4,4
CHEVROLET,SILVERADO 2500,2018,2025,4,2
CHEVROLET,SILVERADO 2500,2019,2025,4,1
CHEVROLET,SILVERADO 2500,2020,2025,4,3
CHEVROLET,SILVERADO 2500,2021,2025,4,9
CHEVROLET,SILVERADO 2500,2022,2025,4,10
CHEVROLET,SILVERADO 2500,2023,2025,4,1
CHEVROLET,SILVERADO 2500,2024,2025,4,9
CHEVROLET,SILVERADO 3500,2015,2025,4,3
CHEVROLET,SILVERADO 3500,2019,2025,4,5
CHEVROLET,SILVERADO 3500,2021,2025,4,7
CHEVROLET,SILVERADO 3500,2022,2025,4,1
CHEVROLET,SILVERADO 3500,2024,2025,4,5
CHEVROLET,SILVERADO EV,2024,2025,4,9
CHEVROLET,SONIC,2017,2025,4,1
CHEVROLET,SONIC,2020,2025,4,1
CHEVROLET,SPARK,2015,2025,4,5
CHEVROLET,SPARK,2020,2025,4,2
CHEVROLET,SUBURBAN,2015,2025,4,5
CHEVROLET,SUBURBAN,2016,2025,4,5
CHEVROLET,SUBURBAN,2017,2025,4,2
CHEVROLET,SUBURBAN,2018,2025,4,2
CHEVROLET,SUBURBAN,2019,2025,4,5
CHEVROLET,SUBURBAN,2020,2025,4,5
CHEVROLET,SUBURBAN,2021,2025,4,11
CHEVROLET,SUBURBAN,2022,2025,4,6
